Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,MT.MP,Standards for Mathematical Practice,KG-12,2025-02-05T22:51:41+00:00
Standard,1.1,MT.MP.1,"Mathematical practice standard 1 is to problem-solve and persevere. Mathematically proficient students: make conjectures, plan, and follow solution strategies; evaluate their progress and accuracy; engage in sense-making and self-monitoring; and persevere in seeking solutions, and value alternative approaches.",KG-12,2025-03-28T21:20:50+00:00
Standard,1.2,MT.MP.2,"Mathematical practice standard 2 is to abstract and generalize. Mathematically proficient students are able to decontextualize and symbolically represent both mathematical and non-mathematical situations to search for and analyze regularities, patterns, and structures.",KG-12,2025-01-17T05:20:52+00:00
Standard,1.3,MT.MP.3,"Mathematical practice standard 3 is to justify and prove. Mathematically proficient students create, evaluate, justify, and refute mathematical claims in developmentally and mathematically appropriate ways.",KG-12,2025-01-17T05:20:52+00:00
Standard,1.4,MT.MP.4,"Mathematical practice standard 4 is to model with mathematics. Mathematically proficient students: make sense of a scenario; identify a problem to be solved, and mathematize it; and apply a mathematical model to reach a solution and verify its viability.",KG-12,2025-03-28T21:25:04+00:00
Standard,1.5,MT.MP5,"Mathematical practice standard 5 is to represent. Mathematically proficient students recognize, use, create, interpret, and translate representations using appropriate methods and tools; and understand multiple ways of representing mathematical ideas and how they are related.",KG-12,2025-03-28T21:25:55+00:00
Standard,1.6,MT.MP6,"Mathematical practice standard 6 is to collaborate mathematically. Mathematically proficient students engage in mathematics as a social enterprise through discussion and collaborative inquiry where ideas are offered, debated, connected, and built upon toward solutions, shared understanding, and appreciation of other perspectives.",KG-12,2025-01-17T05:20:52+00:00
Standard,1.7,MT.MP7,"Mathematical practice standard 7 is to culturally connect. Mathematically proficient students recognize cultural connections and contributions to mathematics; and appreciate the role of mathematics in various cultural contexts, including those of tribally-specific Montana Indigenous Peoples.",KG-12,2025-03-28T21:26:40+00:00
,2,,K-8 Mathematics Content Standards,KG-08,2025-01-17T05:20:52+00:00
Grade Level,2.1,MT.K,Montana Kindergarten Mathematics Content Standards,KG,2025-01-17T05:20:52+00:00
Domain,2.1.1,MT.K.CC,Counting and Cardinality,KG,2025-01-17T05:20:52+00:00
Standard,2.1.1.1,MT.K.CC.1,Flexibly count to 100 by ones and by tens.,KG,2026-06-22T22:38:02+00:00
Standard,2.1.1.2,MT.K.CC.2,Count beginning from a given number within the known sequence.,KG,2026-06-23T00:45:25+00:00
Standard,2.1.1.3,MT.K.CC.3,Write numbers from 0-20 and represent a number of objects with a written numeral 0-20.,KG,2026-06-23T00:45:30+00:00
Standard,2.1.1.4,MT.K.CC.4,Understand the relationship between numbers and quantities and connect counting to cardinality by recognizing that each successive number name refers to a quantity that is one larger within a normal counting sequence.,KG,2026-06-23T00:45:32+00:00
Standard,2.1.1.5,MT.K.CC.5,"Count to answer ""how many?"" in a variety of arrangements and, given a number, produce a set within 20.",KG,2026-06-23T00:45:35+00:00
Standard,2.1.1.6,MT.K.CC.6,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group.",KG,2026-06-23T00:45:37+00:00
Standard,2.1.1.7,MT.K.CC.7,Compare two numbers between 1 and 10 presented as written numerals.,KG,2026-06-23T00:45:40+00:00
Domain,2.1.2,MT.K.OA,Operations and Algebraic Thinking,KG,2025-01-17T05:20:52+00:00
Standard,2.1.2.1,MT.K.OA.1,Represent addition and subtraction in multiple ways.,KG,2026-06-23T00:45:52+00:00
Standard,2.1.2.2,MT.K.OA.2,Solve addition and subtraction problems in context within 10. This standard should incorporate cultural context relating to Montana Indigenous Peoples and local communities.,KG,2026-06-17T02:30:15+00:00
Standard,2.1.2.3,MT.K.OA.3,Decompose numbers less than or equal to 10 into pairs in multiple ways.,KG,2026-06-17T02:30:15+00:00
Standard,2.1.2.4,MT.K.OA.4,"For any number from 1 to 9, find the number that makes 10 when added to the given number.",KG,2026-06-17T02:30:15+00:00
Standard,2.1.2.5,MT.K.OA.5,Flexibly and accurately add and subtract within 5.,KG,2026-06-23T00:46:16+00:00
Standard,2.1.2.6,MT.K.OA.6,Recognize the characteristics of the commutative property in addition.,KG,2026-06-18T17:33:17+00:00
Domain,2.1.3,MT.K.NBT,Number and Operations in Base Ten,KG,2025-01-17T05:20:52+00:00
Standard,2.1.3.1,MT.K.NBT.1,Compose and decompose numbers from 11-19 into ten ones and further ones in multiple ways and record each composition or decomposition by a drawing or an equation.,KG,2026-06-23T00:47:14+00:00
Domain,2.1.4,MT.K.MD,Measurement and Data,KG,2025-01-17T05:20:52+00:00
Standard,2.1.4.1,MT.K.MD.1,Describe several attributes of a single object.,KG,2026-06-23T00:47:18+00:00
Standard,2.1.4.2,MT.K.MD.2,Directly compare two objects with a measurable attribute in common using comparative language.,KG,2026-06-23T00:47:20+00:00
Standard,2.1.4.3,MT.K.MD.3,"Classify, count, and sort objects into categories. This standard should incorporate cultural context relating to Montana Indigenous Peoples and local communities.",KG,2026-06-23T00:47:22+00:00
Standard,2.1.4.4,MT.K.MD.4,Describe attributes and identify the names of coins.,KG,2026-06-23T00:47:25+00:00
Standard,2.1.4.5,MT.K.MD.5,"Explain time in days, months, years, and seasons.",KG,2026-06-23T00:47:27+00:00
Domain,2.1.5,MT.K.G,Geometry,KG,2025-01-17T05:20:52+00:00
Standard,2.1.5.1,MT.K.G.1,Describe the relative positions of objects in their environment. This standard should incorporate cultural context relating to Montana Indigenous Peoples and local communities.,KG,2026-06-23T00:47:47+00:00
Standard,2.1.5.2,MT.K.G.2,Correctly name shapes regardless of their orientations or overall size.,KG,2026-06-23T00:47:50+00:00
Standard,2.1.5.3,MT.K.G.3,Identify shapes are two-dimensional or three-dimensional.,KG,2026-06-23T00:47:59+00:00
Standard,2.1.5.4,MT.K.G.4,Analyze and compare two- and three-dimensional shapes using informal language and other attributes.,KG,2026-06-23T00:48:07+00:00
Standard,2.1.5.5,MT.K.G.5,Model shapes in the environment. This standard should incorporate cultural context relating to Montana Indigenous Peoples and local communities.,KG,2026-06-23T00:48:23+00:00
Standard,2.1.5.6,MT.K.G.6,Compose simple shapes to form larger shapes.,KG,2026-06-23T00:48:25+00:00
Grade Level,2.2,MT.1,Montana Grade 1 Mathematics Content Standards,01,2025-01-17T05:20:52+00:00
Domain,2.2.1,MT.1.OA,Operations and Algebraic Thinking,01,2025-01-17T05:20:52+00:00
Standard,2.2.1.1,MT.1.OA.1,Use addition and subtraction within 20 to solve of all types. This standard should incorporate cultural context relating to Montana Indigenous Peoples and local communities.,01,2026-06-23T00:48:34+00:00
Standard,2.2.1.2,MT.1.OA.2,Solve problems in context that call for addition of three whole numbers with a sum less than or equal to 20 in context of all types. This standard should incorporate cultural context relating to Montana Indigenous Peoples and local communities.,01,2026-06-23T00:48:36+00:00
Standard,2.2.1.3,MT.1.OA.3,Flexibly compose and decompose numbers to add and subtract.,01,2026-06-23T00:48:40+00:00
Standard,2.2.1.4,MT.1.OA.4,Understand subtraction as an unknown-addend problem.,01,2026-06-23T00:48:43+00:00
Standard,2.2.1.5,MT.1.OA.5,Relate counting to addition and subtraction.,01,2026-06-23T00:48:46+00:00
Standard,2.2.1.6,MT.1.OA.6,"Flexibly, accurately, and efficiently add and subtract within 10.",01,2026-06-23T00:48:49+00:00
Standard,2.2.1.7,MT.1.OA.7,Use multiple strategies to add and subtract within 20.,01,2026-06-23T00:48:54+00:00
Standard,2.2.1.8,MT.1.OA.8,Understand the meaning of the equal sign and determine if equations are true or false.,01,2026-06-23T00:48:58+00:00
Standard,2.2.1.9,MT.1.OA.9,Determine the unknown number in an addition or subtraction equation relating to three numbers.,01,2026-06-23T00:49:00+00:00
Domain,2.2.2,MT.1.NBT,Number and Operations in Base Ten,01,2025-01-17T05:20:52+00:00
Standard,2.2.2.1,MT.1.NBT.1,"Flexibly count, read, write, and represent numbers to 120.",01,2026-06-23T00:49:03+00:00
Standard,2.2.2.2,MT.1.NBT.2,Understand that ten is a unit composed of ten ones and that a two-digit number represents tens and ones.,01,2026-06-23T00:49:06+00:00
Standard,2.2.2.3,MT.1.NBT.3,"Compare two two-digit numbers using comparison symbols >, =, and <.",01,2026-06-23T00:49:08+00:00
Standard,2.2.2.4,MT.1.NBT.4,Build a foundation for addition within 100 by:,01,2026-06-23T00:49:12+00:00
Component,2.2.2.4.1,MT.1.NBT.4.a,*Build a foundation for addition within 100 by* adding two-digit to one-digit numbers.,01,2026-06-17T02:31:16+00:00
Component,2.2.2.4.2,MT.1.NBT.4.b,*Build a foundation for addition within 100 by* adding multiples of 10 to two-digit numbers.,01,2026-06-17T02:31:16+00:00
Standard,2.2.2.5,MT.1.NBT.5,"Using place value, given a two-digit number, find 10 more or 10 less than the number.",01,2026-06-23T00:49:15+00:00
Standard,2.2.2.6,MT.1.NBT.6,Subtract multiples of 10 from a two-digit number.,01,2026-06-23T00:49:17+00:00
Domain,2.2.3,MT.1.MD,Measurement and Data,01,2025-01-17T05:20:52+00:00
Standard,2.2.3.1,MT.1.MD.1,Order three objects by length and compare the lengths of two objects indirectly by using a third object. This standard should incorporate cultural context relating to Montana Indigenous Peoples and local communities.,01,2026-06-23T00:49:55+00:00
Standard,2.2.3.2,MT.1.MD.2,Express the length of an object as a whole number of length units. Understand that the measurement of an object is the number of same-size length units that span it with no gaps or overlaps.,01,2026-06-23T00:50:01+00:00
Standard,2.2.3.3,MT.1.MD.3,Tell and write time in hours and half-hours using analog and digital clocks.,01,2026-06-23T00:50:03+00:00
Standard,2.2.3.4,MT.1.MD.4,Identify the value of coins.,01,2026-06-23T00:50:05+00:00
Standard,2.2.3.5,MT.1.MD.5,"Organize, represent, and interpret data with up to three categories by:",01,2026-06-23T00:50:08+00:00
